Logical Address,Page Number,Offset,TLB Hit/Miss,Page Fault,Frame Number,Physical Address,Value,Replaced Page,Replaced Frame
24324,95,4,hit,no,68,17412,0,-1,-1
32450,126,194,miss,yes,80,20674,31,91,80
9108,35,148,miss,yes,81,20884,0,166,81
65305,255,25,miss,no,119,30489,0,-1,-1
19575,76,119,miss,no,88,22647,29,-1,-1
11117,43,109,miss,no,30,7789,0,-1,-1
65170,254,146,miss,yes,82,21138,63,62,82
58013,226,157,miss,no,69,17821,0,-1,-1
61676,240,236,miss,no,90,23276,0,-1,-1
63510,248,22,miss,no,110,28182,62,-1,-1
17458,68,50,miss,no,37,9522,17,-1,-1
54675,213,147,miss,yes,83,21395,100,146,83
1713,6,177,miss,no,49,12721,0,-1,-1
55105,215,65,miss,yes,84,21569,0,21,84
65321,255,41,hit,no,119,30505,0,-1,-1
45278,176,222,miss,yes,85,21982,44,249,85
26256,102,144,miss,yes,86,22160,0,246,86
64198,250,198,miss,yes,87,22470,62,241,87
29441,115,1,miss,yes,88,22529,0,76,88
1928,7,136,miss,no,1,392,0,-1,-1
39425,154,1,miss,no,48,12289,0,-1,-1
32000,125,0,miss,yes,89,22784,0,36,89
28549,111,133,miss,no,109,28037,0,-1,-1
46295,180,215,miss,yes,90,23255,53,240,90
22772,88,244,miss,yes,91,23540,0,122,91
58228,227,116,miss,no,5,1396,0,-1,-1
63525,248,37,miss,no,110,28197,0,-1,-1
32602,127,90,miss,yes,92,23642,31,237,92
46195,180,115,hit,no,90,23155,28,-1,-1
55849,218,41,miss,no,7,1833,0,-1,-1
46454,181,118,miss,yes,93,23926,45,243,93
7487,29,63,miss,no,50,12863,79,-1,-1
33879,132,87,miss,no,41,10583,21,-1,-1
42004,164,20,miss,no,63,16148,0,-1,-1
8599,33,151,miss,yes,94,24215,101,85,94
18641,72,209,miss,yes,95,24529,0,103,95
49015,191,119,miss,yes,96,24695,-35,58,96
26830,104,206,miss,no,45,11726,26,-1,-1
34754,135,194,miss,yes,97,25026,33,161,97
14668,57,76,miss,no,2,588,0,-1,-1
38362,149,218,miss,yes,98,25306,37,219,98
38791,151,135,miss,no,67,17287,-31,-1,-1
4171,16,75,miss,yes,99,25419,18,203,99
45975,179,151,miss,yes,100,25751,-27,187,100
14623,57,31,hit,no,2,543,71,-1,-1
62393,243,185,miss,yes,101,26041,0,232,101
64658,252,146,miss,yes,102,26258,63,198,102
10963,42,211,miss,yes,103,26579,-76,27,103
9058,35,98,miss,no,81,20834,8,-1,-1
51031,199,87,miss,no,46,11863,-43,-1,-1
32425,126,169,miss,no,80,20649,0,-1,-1
45483,177,171,miss,no,62,16043,106,-1,-1
44611,174,67,miss,yes,104,26691,-112,136,104
63664,248,176,miss,no,110,28336,0,-1,-1
54920,214,136,miss,yes,105,27016,0,105,105
7663,29,239,miss,no,50,13039,123,-1,-1
56480,220,160,miss,yes,106,27296,0,202,106
1489,5,209,miss,yes,107,27601,0,41,107
28438,111,22,miss,no,109,27926,27,-1,-1
65449,255,169,miss,no,119,30633,0,-1,-1
12441,48,153,miss,no,58,15001,0,-1,-1
58530,228,162,miss,yes,108,27810,57,18,108
63570,248,82,hit,no,110,28242,62,-1,-1
26251,102,139,miss,no,86,22155,-94,-1,-1
15972,62,100,miss,yes,109,28004,0,111,109
35826,139,242,miss,no,51,13298,34,-1,-1
5491,21,115,miss,yes,110,28275,92,248,110
54253,211,237,miss,yes,111,28653,0,245,111
49655,193,247,miss,no,59,15351,125,-1,-1
5868,22,236,miss,yes,112,28908,0,106,112
20163,78,195,miss,no,34,8899,-80,-1,-1
51079,199,135,miss,no,46,11911,-31,-1,-1
21398,83,150,miss,yes,113,29078,20,25,113
32756,127,244,miss,no,92,23796,0,-1,-1
64196,250,196,miss,no,87,22468,0,-1,-1
43218,168,210,miss,yes,114,29394,42,147,114
21583,84,79,miss,yes,115,29519,19,169,115
25086,97,254,miss,yes,116,29950,24,184,116
45515,177,203,miss,no,62,16075,114,-1,-1
12893,50,93,miss,no,118,30301,0,-1,-1
22914,89,130,miss,yes,117,30082,22,205,117
58969,230,89,miss,yes,118,30297,0,50,118
20094,78,126,hit,no,34,8830,19,-1,-1
13730,53,162,miss,yes,119,30626,13,255,119
44059,172,27,miss,yes,120,30747,6,223,120
28931,113,3,miss,yes,121,30979,64,49,121
13533,52,221,miss,no,13,3549,0,-1,-1
33134,129,110,miss,yes,122,31342,32,54,122
28483,111,67,miss,yes,123,31555,-48,194,123
1220,4,196,miss,no,35,9156,0,-1,-1
38174,149,30,miss,no,98,25118,37,-1,-1
53502,208,254,miss,no,10,2814,52,-1,-1
43328,169,64,miss,yes,124,31808,0,60,124
4970,19,106,miss,yes,125,32106,4,185,125
8090,31,154,miss,no,4,1178,7,-1,-1
2661,10,101,miss,yes,126,32357,0,59,126
53903,210,143,miss,yes,127,32655,-93,200,127
11025,43,17,miss,no,30,7697,0,-1,-1
26627,104,3,miss,no,45,11523,0,-1,-1
18117,70,197,miss,yes,0,197,0,190,0
14505,56,169,miss,yes,1,425,0,7,1
61528,240,88,miss,yes,2,600,0,57,2
20423,79,199,miss,yes,3,967,-15,94,3
26962,105,82,miss,yes,4,1106,26,31,4
36392,142,40,miss,no,57,14632,0,-1,-1
11365,44,101,miss,yes,5,1381,0,227,5
50882,198,194,miss,yes,6,1730,49,207,6
41668,162,196,miss,no,40,10436,0,-1,-1
30497,119,33,miss,no,64,16417,0,-1,-1
36216,141,120,miss,yes,7,1912,0,218,7
5619,21,243,miss,no,110,28403,124,-1,-1
36983,144,119,miss,yes,8,2167,29,110,8
59557,232,165,miss,yes,9,2469,0,8,9
36663,143,55,miss,no,11,2871,-51,-1,-1
36436,142,84,hit,no,57,14676,0,-1,-1
37057,144,193,hit,no,8,2241,0,-1,-1
23585,92,33,miss,yes,10,2593,0,208,10
58791,229,167,miss,yes,11,2983,105,143,11
46666,182,74,miss,yes,12,3146,45,90,12
64475,251,219,miss,no,77,19931,-10,-1,-1
21615,84,111,miss,no,115,29551,27,-1,-1
41090,160,130,miss,yes,13,3458,40,52,13
1771,6,235,miss,no,49,12779,-70,-1,-1
47513,185,153,miss,yes,14,3737,0,77,14
39338,153,170,miss,yes,15,4010,38,101,15
1390,5,110,miss,no,107,27502,1,-1,-1
38772,151,116,miss,no,67,17268,0,-1,-1
58149,227,37,miss,yes,16,4133,0,244,16
7196,28,28,miss,no,47,12060,0,-1,-1
9123,35,163,miss,no,81,20899,-24,-1,-1
7491,29,67,miss,no,50,12867,80,-1,-1
62616,244,152,miss,yes,17,4504,0,114,17
15436,60,76,miss,yes,18,4684,0,148,18
17491,68,83,miss,no,37,9555,20,-1,-1
53656,209,152,miss,no,20,5272,0,-1,-1
26449,103,81,miss,yes,19,4945,0,222,19
34935,136,119,miss,yes,20,5239,29,209,20
19864,77,152,miss,yes,21,5528,0,82,21
51388,200,188,miss,yes,22,5820,0,224,22
15155,59,51,miss,yes,23,5939,-52,155,23
64775,253,7,miss,yes,24,6151,65,96,24
47969,187,97,miss,yes,25,6497,0,163,25
16315,63,187,miss,yes,26,6843,-18,81,26
1342,5,62,miss,no,107,27454,1,-1,-1
51185,199,241,miss,no,46,12017,0,-1,-1
6043,23,155,miss,yes,27,7067,-26,158,27
21398,83,150,miss,no,113,29078,20,-1,-1
3273,12,201,miss,no,32,8393,0,-1,-1
9370,36,154,miss,yes,28,7322,9,93,28
35463,138,135,miss,yes,29,7559,-95,137,29
28205,110,45,miss,yes,30,7725,0,43,30
2351,9,47,miss,yes,31,7983,75,152,31
28999,113,71,miss,no,121,31047,81,-1,-1
47699,186,83,miss,yes,32,8275,-108,12,32
46870,183,22,miss,yes,33,8470,45,26,33
22311,87,39,miss,yes,34,8743,-55,78,34
22124,86,108,miss,yes,35,9068,0,4,35
22427,87,155,hit,no,34,8859,-26,-1,-1
49344,192,192,miss,no,56,14528,0,-1,-1
23224,90,184,miss,yes,36,9400,0,47,36
5514,21,138,miss,no,110,28298,5,-1,-1
20504,80,24,miss,yes,37,9496,0,68,37
376,1,120,miss,yes,38,9848,0,116,38
2014,7,222,miss,yes,39,10206,1,45,39
38700,151,44,miss,no,67,17196,0,-1,-1
13098,51,42,miss,no,53,13610,12,-1,-1
62435,243,227,miss,no,101,26083,-8,-1,-1
48046,187,174,miss,no,25,6574,46,-1,-1
63464,247,232,miss,yes,40,10472,0,162,40
12798,49,254,miss,yes,41,10750,12,132,41
51178,199,234,miss,no,46,12010,49,-1,-1
8627,33,179,miss,no,94,24243,108,-1,-1
27083,105,203,miss,no,4,1227,114,-1,-1
47198,184,94,miss,yes,42,10846,46,24,42
44021,171,245,miss,yes,43,11253,0,231,43
32792,128,24,miss,yes,44,11288,0,239,44
43996,171,220,hit,no,43,11228,0,-1,-1
41126,160,166,miss,no,13,3494,40,-1,-1
64244,250,244,miss,no,87,22516,0,-1,-1
37047,144,183,miss,no,8,2231,45,-1,-1
60281,235,121,miss,yes,45,11641,0,104,45
52904,206,168,miss,no,76,19624,0,-1,-1
7768,30,88,miss,yes,46,11864,0,199,46
55359,216,63,miss,yes,47,12095,15,28,47
3230,12,158,miss,yes,48,12446,3,154,48
44813,175,13,miss,no,60,15373,0,-1,-1
4116,16,20,miss,no,99,25364,0,-1,-1
65222,254,198,miss,no,82,21190,63,-1,-1
28083,109,179,miss,yes,49,12723,108,6,49
60660,236,244,miss,yes,50,13044,0,29,50
39,0,39,miss,yes,51,13095,9,139,51
328,1,72,miss,no,38,9800,0,-1,-1
47868,186,252,miss,no,32,8444,0,-1,-1
13009,50,209,miss,yes,52,13521,0,108,52
22378,87,106,miss,no,34,8810,21,-1,-1
39304,153,136,miss,no,15,3976,0,-1,-1
11171,43,163,miss,yes,53,13731,-24,51,53
8079,31,143,miss,yes,54,13967,-29,38,54
52879,206,143,miss,no,76,19599,-93,-1,-1
5123,20,3,miss,yes,55,14083,0,173,55
4356,17,4,miss,yes,56,14340,0,192,56
45745,178,177,miss,no,73,18865,0,-1,-1
32952,128,184,miss,no,44,11448,0,-1,-1
4657,18,49,miss,yes,57,14641,0,142,57
24142,94,78,miss,yes,58,14926,23,48,58
23319,91,23,miss,yes,59,15127,-59,193,59
13607,53,39,miss,no,119,30503,73,-1,-1
46304,180,224,miss,no,90,23264,0,-1,-1
17677,69,13,miss,no,72,18445,0,-1,-1
59691,233,43,miss,no,74,18987,74,-1,-1
50967,199,23,miss,yes,60,15383,-59,175,60
7817,30,137,miss,no,46,11913,0,-1,-1
8545,33,97,miss,no,94,24161,0,-1,-1
55297,216,1,miss,no,47,12033,0,-1,-1
52954,206,218,hit,no,76,19674,51,-1,-1
39720,155,40,miss,yes,61,15656,0,64,61
18455,72,23,miss,no,95,24343,5,-1,-1
30349,118,141,miss,yes,62,16013,0,177,62
63270,247,38,miss,no,40,10278,61,-1,-1
27156,106,20,miss,yes,63,16148,0,164,63
20614,80,134,miss,no,37,9606,20,-1,-1
19372,75,172,miss,yes,64,16556,0,119,64
48689,190,49,miss,yes,65,16689,0,34,65
49386,192,234,miss,yes,66,17130,48,204,66
50584,197,152,miss,yes,67,17304,0,151,67
51936,202,224,miss,yes,68,17632,0,95,68
34705,135,145,miss,no,97,24977,0,-1,-1
13653,53,85,miss,no,119,30549,0,-1,-1
50077,195,157,miss,yes,69,17821,0,226,69
54518,212,246,miss,yes,70,18166,53,11,70
41482,162,10,miss,yes,71,18186,40,32,71
